4	31	302																																																																																																																																																																																																																																																																																																											
30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180																																																																																																																																																																																																																																																																															
490	500	510	520	530	540	550	560	570	580	590	600	610	620	630	640	650	660	670	680	690	700	710	720	730	740	750	760	770	780	790	800	810	820	830	840	850	860	870	880	890	900	910	920	930	940	950	960	970	980	990	1000	1010	1020	1030	1040	1050	1060	1070	1080	1090	1100	1110	1120	1130	1140	1150	1160	1170	1180	1190	1200	1210	1220	1230	1240	1250	1260	1270	1280	1290	1300	1310	1320	1330	1340	1350	1360	1370	1380	1390	1400	1410	1420	1430	1440	1450	1460	1470	1480	1490	1500	1510	1520	1530	1540	1550	1560	1570	1580	1590	1600	1610	1620	1630	1640	1650	1660	1670	1680	1690	1700	1710	1720	1730	1740	1750	1760	1770	1780	1790	1800	1810	1820	1830	1840	1850	1860	1870	1880	1890	1900	1910	1920	1930	1940	1950	1960	1970	1980	1990	2000	2010	2020	2030	2040	2050	2060	2070	2080	2090	2100	2110	2120	2130	2140	2150	2160	2170	2180	2190	2200	2210	2220	2230	2240	2250	2260	2270	2280	2290	2300	2310	2320	2330	2340	2350	2360	2370	2380	2390	2400	2410	2420	2430	2440	2450	2460	2470	2480	2490	2500	2510	2520	2530	2540	2550	2560	2570	2580	2590	2600	2610	2620	2630	2640	2650	2660	2670	2680	2690	2700	2710	2720	2730	2740	2750	2760	2770	2780	2790	2800	2810	2820	2830	2840	2850	2860	2870	2880	2890	2900	2910	2920	2930	2940	2950	2960	2970	2980	2990	3000	3010	3020	3030	3040	3050	3060	3070	3080	3090	3100	3110	3120	3130	3140	3150	3160	3170	3180	3190	3200	3210	3220	3230	3240	3250	3260	3270	3280	3290	3300	3310	3320	3330	3340	3350	3360	3370	3380	3390	3400	3410	3420	3430	3440	3450	3460	3470	3480	3490	3500
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																															
0.01	0.0187	0.0323	0.0525	0.0814	0.1216	0.1766	0.2507	0.3499	0.482	0.6584	0.8603	0.9018	0.9446	0.9883	1.032	1.0755	1.1176	1.1587	1.1975	1.2344	1.2684	1.2995	1.3276	1.3527	1.374	1.3915	1.4052	1.4149	1.4209	1.4227																																																																																																																																																																																																																																																																															
0.0102	0.0191	0.0329	0.0534	0.0828	0.1237	0.1797	0.255	0.3558	0.4899	0.6686	0.8731	0.916	0.9601	1.005	1.0498	1.0941	1.1374	1.1793	1.2186	1.2559	1.2907	1.3227	1.351	1.3763	1.398	1.4155	1.4292	1.4394	1.4453	1.4477																																																																																																																																																																																																																																																																															
0.0104	0.0194	0.0334	0.0543	0.0841	0.1257	0.1825	0.259	0.3612	0.4971	0.678	0.8849	0.929	0.9743	1.0202	1.0661	1.1112	1.1553	1.1978	1.2381	1.2761	1.3115	1.3434	1.3723	1.3976	1.4191	1.4374	1.4518	1.4617	1.4675	1.4699																																																																																																																																																																																																																																																																															
0.0105	0.0196	0.0339	0.055	0.0853	0.1275	0.1851	0.2626	0.3661	0.5037	0.6865	0.8958	0.9409	0.9874	1.0342	1.081	1.1271	1.1719	1.2146	1.2558	1.294	1.3296	1.362	1.3916	1.4171	1.4389	1.4572	1.4714	1.4819	1.4881	1.4898																																																																																																																																																																																																																																																																															
0.0106	0.0199	0.0343	0.0557	0.0864	0.1292	0.1874	0.2659	0.3707	0.5098	0.6945	0.9059	0.952	0.9995	1.0472	1.0946	1.1414	1.1872	1.2306	1.2721	1.311	1.3469	1.3797	1.4093	1.4354	1.4574	1.4754	1.49	1.5001	1.5064	1.5086																																																																																																																																																																																																																																																																															
0.0108	0.0201	0.0347	0.0564	0.0875	0.1307	0.1897	0.2691	0.375	0.5155	0.7022	0.9154	0.9626	1.0107	1.0594	1.1077	1.1551	1.2012	1.2456	1.2875	1.3264	1.3631	1.3965	1.4261	1.4523	1.4744	1.4928	1.5074	1.5175	1.5243	1.5265																																																																																																																																																																																																																																																																															
0.0109	0.0204	0.0351	0.0571	0.0884	0.1321	0.1918	0.2721	0.379	0.521	0.7092	0.9243	0.9724	1.0215	1.0709	1.1202	1.1683	1.2147	1.2596	1.302	1.3415	1.3784	1.4122	1.442	1.4681	1.4909	1.5097	1.5241	1.5346	1.5412	1.5426																																																																																																																																																																																																																																																																															
0.011	0.0206	0.0355	0.0577	0.0894	0.1336	0.1939	0.2749	0.3829	0.5261	0.716	0.9327	0.9818	1.0317	1.0818	1.1317	1.1806	1.2277	1.2732	1.316	1.3561	1.3935	1.4271	1.4574	1.4839	1.5063	1.5249	1.5399	1.5507	1.5571	1.5593																																																																																																																																																																																																																																																																															
0.0111	0.0208	0.0359	0.0582	0.0903	0.1349	0.1958	0.2776	0.3866	0.5311	0.7223	0.9407	0.9906	1.0415	1.0925	1.1431	1.1924	1.2402	1.2859	1.3291	1.3699	1.4076	1.4417	1.4721	1.4985	1.5216	1.5407	1.5552	1.5658	1.5721	1.5742																																																																																																																																																																																																																																																																															
0.0112	0.021	0.0362	0.0588	0.0912	0.1362	0.1977	0.2803	0.3902	0.5359	0.7285	0.9484	0.9993	1.051	1.1025	1.154	1.2041	1.2524	1.2988	1.3425	1.3834	1.4215	1.4554	1.4863	1.5132	1.5359	1.5553	1.5706	1.5808	1.587	1.5899																																																																																																																																																																																																																																																																															
