4	31	362																																																																																																																																																																																																																																																																																																																																																																							
30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180																																																																																																																																																																																																																																																																																																																																											
340	360	380	390	400	405	410	415	420	425	430	435	440	445	450	451	452	453	454	455	456	457	458	459	460	461	462	463	464	465	470	475	480	485	490	495	500	505	510	515	520	525	530	540	550	560	570	580	590	600	620	640	660	680	700	720	740	760	780	800	820	840	860	880	900	920	940	960	980	1000	1020	1040	1060	1080	1100	1120	1140	1160	1180	1200	1220	1240	1260	1280	1300	1320	1340	1360	1380	1400	1420	1440	1460	1480	1500	1520	1540	1560	1580	1600	1605	1610	1615	1620	1625	1630	1635	1640	1645	1650	1660	1665	1670	1675	1680	1685	1690	1695	1700	1705	1707	1710	1712	1715	1716	1718	1720	1722	1725	1726	1727	1728	1729	1730	1731	1732	1733	1734	1735	1737	1740	1742	1745	1746	1747	1750	1752	1755	1756	1757	1760	1762	1765	1767	1770	1772	1775	1777	1780	1782	1785	1787	1790	1792	1795	1797	1800	1805	1810	1815	1820	1840	1860	1880	1900	1920	1940	1960	1980	2000	2020	2040	2060	2080	2100	2120	2140	2160	2180	2200	2220	2240	2260	2280	2300	2320	2340	2360	2380	2400	2420	2440	2460	2480	2500	2520	2540	2560	2580	2600	2701	2800	2900	3000	3100	3200	3294	3302	3400	3500	3550	3600	3650	3700	3750	3794	3810	3850	3900	3950	4020	4094	4112	4122	4132	4150	4200	4250	4300	4350	4400	4450	4495	4550	4600	4650	4695	4720	4745	4770	4775	4779	4783	4787	4791	4795	4797	4799	4803	4805	4807	4811	4813	4815	4819	4821	4823	4825	4827	4829	4831	4833	4835	4837	4839	4841	4842	4845	4850	4855	4860	4870	4895	4950	5000	5050	5095	5103	5195	5199	5203	5220	5245	5270	5295	5320	5345	5370	5385	5388	5395	5407	5420	5430	5445	5460	5480	5495	5510	5530	5550	5570	5590	5610	5630	5650	5670	5695	5710	5730	5750	5795	5825	5855	5875	5895	5910	5925	5950	5975	5995	6020	6045	6070	6095	6120	6145	6165	6195	6230	6275	6305	6345	6395	6420	6440	6460	6480	6495	6520	6550	6600	6650	6695	6750	6800	6850	6900	6950	7000	7050	7100
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																											
1.0001	0.9977	0.9963	0.9956	0.9945	0.9922	0.9881	0.9822	0.9747	0.9661	0.9573	0.949	0.9418	0.9364	0.9332	0.9325	0.9344	0.9387	0.9453	0.9538	0.9638	0.9747	0.9861	0.9974	1.0082	1.018	1.0265	1.0334	1.0385	1.0416	1.0426																																																																																																																																																																																																																																																																																																																																											
1.0079	1.011	1.0138	1.0149	1.0131	1.0074	0.9977	0.9843	0.9678	0.9494	0.9303	0.9115	0.894	0.8786	0.866	0.8565	0.8503	0.8473	0.8473	0.8499	0.8547	0.8611	0.8686	0.8766	0.8845	0.892	0.8987	0.9042	0.9083	0.9108	0.9117																																																																																																																																																																																																																																																																																																																																											
1.0134	1.0193	1.0239	1.0253	1.0223	1.0141	1.0006	0.9824	0.9606	0.9365	0.9115	0.8868	0.8637	0.843	0.8253	0.8112	0.8008	0.794	0.7906	0.7901	0.7923	0.7963	0.8018	0.8081	0.8146	0.8209	0.8267	0.8314	0.835	0.8372	0.838																																																																																																																																																																																																																																																																																																																																											
1.0209	1.0299	1.0361	1.0374	1.0323	1.0204	1.0018	0.9776	0.9491	0.918	0.8858	0.8542	0.8244	0.7975	0.7741	0.7547	0.7395	0.7285	0.7213	0.7175	0.7168	0.7183	0.7216	0.7261	0.7311	0.7362	0.7409	0.7449	0.748	0.7499	0.7505																																																																																																																																																																																																																																																																																																																																											
1.0257	1.0365	1.0434	1.0443	1.0377	1.0233	1.0015	0.9735	0.9409	0.9055	0.8691	0.8334	0.7997	0.7692	0.7426	0.7203	0.7024	0.6891	0.6798	0.6744	0.672	0.6723	0.6745	0.678	0.6822	0.6867	0.6909	0.6946	0.6974	0.6991	0.6997																																																																																																																																																																																																																																																																																																																																											
1.0316	1.0441	1.0517	1.0518	1.0433	1.0258	1.0001	0.9676	0.9301	0.8898	0.8487	0.8083	0.7704	0.7359	0.7057	0.6802	0.6596	0.6438	0.6325	0.6252	0.6214	0.6204	0.6215	0.6241	0.6276	0.6315	0.6353	0.6385	0.6411	0.6427	0.6432																																																																																																																																																																																																																																																																																																																																											
1.0386	1.0531	1.0612	1.0602	1.049	1.0276	0.997	0.9591	0.916	0.87	0.8233	0.7777	0.735	0.6962	0.6621	0.6333	0.6098	0.5915	0.5782	0.5691	0.5639	0.5617	0.5618	0.5637	0.5666	0.57	0.5734	0.5764	0.5788	0.5803	0.5808																																																																																																																																																																																																																																																																																																																																											
1.0474	1.0638	1.072	1.0692	1.0544	1.028	0.9915	0.947	0.8971	0.8444	0.7912	0.7398	0.6917	0.6481	0.61	0.5778	0.5514	0.5308	0.5155	0.505	0.4986	0.4955	0.495	0.4964	0.499	0.5021	0.5054	0.5083	0.5106	0.5121	0.5126																																																																																																																																																																																																																																																																																																																																											
1.0582	1.0766	1.0842	1.0786	1.0589	1.026	0.9819	0.9293	0.8712	0.8106	0.7501	0.692	0.638	0.5896	0.5474	0.5118	0.4829	0.4603	0.4437	0.4323	0.4253	0.422	0.4215	0.423	0.4258	0.4292	0.4328	0.4359	0.4384	0.44	0.4406																																																																																																																																																																																																																																																																																																																																											
