4	8	7											
0.4641	1	2.154	4.641	10	21.54	46.41	100
0.01	0.1	0.46425	1	2.1547	10	100	
1	1	1	1	1	1	1	1
1.01131	1.00995	1.00819	1.00694	1.00611	1.00563	1.00537	1.00526
1.20149	1.17734	1.15367	1.13417	1.12052	1.11253	1.10836	1.1062
1.656	1.602	1.543	1.491	1.4562	1.4367	1.42702	1.42238
2.79035	2.68908	2.56992	2.4749	2.42288	2.399	2.38836	2.38288
10.87	10.498	10.2	10.0928	10.0658	10.0573	10.054	10.0524
100	100	100	100	100	100	100	100

