0.4641	0.01		1		0.4641
1	0.01		1		1
2.154	0.01		1		2.154
4.641	0.01		1		4.641
10	0.01		1		10
21.54	0.01		1		21.54
46.41	0.01		1		46.41
100	0.01		1		100
0.4641	0.1		1.01131	0.4726
1	0.1		1.00995	1.0175
2.154	0.1		1.00819	2.1882
4.641	0.1		1.00694	4.72
10	0.1		1.00611	10.189
21.54	0.1		1.00563	21.96
46.41	0.1		1.00537	47.34
100	0.1		1.00526	102
0.4641	0.46425	1.20149	0.615
1	0.46425	1.17734	1.287
2.154	0.46425	1.15367	2.821
4.641	0.46425	1.13417	6.31
10	0.46425	1.12052	14.06
21.54	0.46425	1.11253	30.9
46.41	0.46425	1.10836	66.6
100	0.4641		1.1062		141
0.4641	1		1.656		0.9
1	1		1.602		1.98
2.154	1		1.543		4.83
4.641	1		1.491		11.26
10	1		1.4562		29.7
21.54	1		1.4367		64.7
46.41	1		1.42702	122
100	1		1.42238	196
0.4641	2.1547		2.79035	1.54
1	2.1547		2.68908	3.89
2.154	2.1547		2.56992	12
4.641	2.1547		2.4749		37.64
10	2.1547		2.42288	83
21.54	2.1547		2.399		117
46.41	2.1547		2.38836	134
100	2.154		2.38288	141
0.4641	10		10.87		4.82
1	10		10.498		16.5
2.154	10		10.2		68.3
4.641	10		10.0928	100.9
10	10		10.0658	102.2
21.54	10		10.0573	102
46.41	10		10.054		102
100	10		10.0524	102
0.4641	100		100		100
1	100		100		100
2.154	100		100		100
4.641	100		100		100
10	100		100		100
21.54	100		100		100
46.41	100		100		100
100	100		100		100
