
  0.4641      0.4641  0.01       1.0000    0.4641
  0.4641      1       0.01       1.0000    1.000
  0.4641      2.154   0.01       1.0000    2.154
  0.4641      4.641   0.01       1.000     4.641
  0.4641     10       0.01       1.000    10.00
  0.4641     21.54    0.01       1.000    21.54
  0.4641     46.41    0.01       1.000    46.41
  0.4641    100       0.01       1.000    100.00
  0.4641      0.4641  0.1       1.248     0.371
  0.4641      1       0.1       1.1986    0.768
  0.4641      2.154   0.1       1.1537    1.436
  0.4641      4.641   0.1       1.122     2.36
  0.4641     10       0.1       1.104     3.34
  0.4641     21.54    0.1       1.094     4.10
  0.4641     46.41    0.1       1.089     4.57
  0.4641    100       0.1       1.087     4.82
  0.4641      0.4641  0.4641    1.739     0.331
  0.4641      1       0.4641    1.6108    0.6314
  0.4641      2.154   0.4641    1.482     0.999
  0.4641      4.641   0.4641    1.392     1.290
  0.4641     10       0.4641    1.340     1.44
  0.4641     21.54    0.4641    1.313     1.50
  0.4641     46.41    0.4641    1.301     1.53
  0.4641    100       0.4641    1.295     1.54
  0.4641      0.4641  1.0000    2.416     0.3263
  0.4641      1       1.0000    2.1657    0.5707
  0.4641      2.154   1.0000    1.944     0.793
  0.4641      4.641   1.0000    1.796     0.887
  0.4641     10       1.0000    1.719     0.91
  0.4641     21.54    1.0000    1.682     0.91
  0.4641     46.41    1.0000    1.664     0.91
  0.4641    100       1.0000    1.656     0.90
  0.4641      0.4641  2.154     3.776     0.3324
  0.4641      1       2.154     3.3333    0.5258
  0.4641      2.154   2.154     2.966     0.656
  0.4641      4.641   2.154     2.751     0.640
  0.4641     10       2.154     2.657     0.632
  0.4641     21.54    2.154     2.615     0.622
  0.4641     46.41    2.154     2.597     0.617
  0.4641    100       2.154     2.588     0.615
  0.4641      0.4641 10.00     12.479     0.369
  0.4641      1      10.00     11.1904    0.4799
  0.4641      2.154  10.00     10.43      0.4899
  0.4641      4.641  10.00     10.198     0.4786
  0.4641     10      10.00     10.141     0.4746
  0.4641     21.54   10.00     10.1233    0.4733
  0.4641     46.41   10.00     10.1162    0.4728
  0.4641    100      10.00     10.1131    0.4726
  0.4641      0.4641 100.0     100.00     0.4641
  0.4641      1      100.0     100.000    0.4641
  0.4641      2.154  100.0     100.00     0.4641
  0.4641      4.641  100.0     100.00     0.4641
  0.4641     10      100.0     100.00     0.4641
  0.4641     21.54   100.0     100.000    0.4641
  0.4641     46.41   100.0     100.000    0.4641
  0.4641    100      100.0     100.000    0.4641
  1.0000      0.4641  0.01       1.0000    0.4641
  1.0000      1       0.01       1.0000    1.000
  1.0000      2.154   0.01       1.0000    2.154
  1.0000      4.641   0.01       1.000     4.641
  1.0000     10       0.01       1.000    10.00
