4	8	7					
0.4641	1	2.154	4.641	10	21.54	46.41	100
0.01	0.1	0.46425	1	2.1547	10	100	
0.4641	1	2.154	4.641	10	21.54	46.41	100
0.4726	1.0175	2.1882	4.72	10.189	21.96	47.34	102
0.615	1.287	2.821	6.31	14.06	30.9	66.6	141
0.9	1.98	4.83	11.26	29.7	64.7	122	196
1.54	3.89	12	37.64	83	117	134	141
4.82	16.5	68.3	100.9	102.2	102	102	102
100	100	100	100	100	100	100	100
